"site";"decor";"id";"type";"technlg";"incmplt";"geometry"
"EAMENA-0207489";"crvn";1;"caravanserail";"-";0;"POLYGON ((56.82228 31.36291, 56.82249 31.36265, 56.82278 31.36281, 56.82258 31.36307, 56.82228 31.36291))"
"EAMENA-0207487";"crvn";1;"caravanserail";"-";0;"POLYGON ((54.88855 31.76093, 54.88861 31.76072, 54.88883 31.76077, 54.88878 31.76098, 54.88855 31.76093))"
"EAMENA-0207495";"crvn";1;"caravanserail";"-";0;"POLYGON ((54.1592 35.94544, 54.15848 35.94558, 54.15832 35.94498, 54.15891 35.94488, 54.15969 35.94475, 54.15983 35.94535, 54.1592 35.94544))"
"EAMENA-0207506";"crvn";1;"caravanserail";"-";0;"POLYGON ((60.70031 30.16012, 60.70055 30.15981, 60.70088 30.16005, 60.70058 30.16033, 60.70031 30.16012))"
"EAMENA-0192671";"crvn";1;"caravanserail";"-";0;"POLYGON ((59.03886 32.55001, 59.03888 32.54966, 59.03922 32.54968, 59.03921 32.55, 59.03886 32.55001))"
"EAMENA-0192672";"crvn";1;"caravanserail";"-";0;"POLYGON ((59.28804 32.40396, 59.28833 32.40384, 59.28847 32.40406, 59.28823 32.40419, 59.28804 32.40396))"
"EAMENA-0192673";"crvn";1;"caravanserail";"-";0;"POLYGON ((57.42559 33.86744, 57.42523 33.86735, 57.42535 33.86704, 57.4257 33.86713, 57.42559 33.86744))"
"EAMENA-0192674";"crvn";1;"caravanserail";"-";0;"POLYGON ((59.46049 36.03753, 59.46124 36.03744, 59.46137 36.03774, 59.46062 36.03783, 59.46049 36.03753))"
"EAMENA-0192652";"crvn";1;"caravanserail";"-";0;"POLYGON ((59.64683 36.10526, 59.64667 36.10531, 59.64662 36.10522, 59.64655 36.10525, 59.64652 36.10522, 59.64647 36.1052, 59.64644 36.1052, 59.64639 36.10512, 59.64672 36.105, 59.64683 36.10526))"
"EAMENA-0192653";"crvn";1;"caravanserail";"-";0;"POLYGON ((59.96646 36.07865, 59.96587 36.07861, 59.96589 36.07822, 59.96646 36.07829, 59.96646 36.07865))"
"EAMENA-0192654";"crvn";1;"caravanserail";"-";0;"POLYGON ((58.11539 34.02432, 58.11596 34.02404, 58.11633 34.02448, 58.11579 34.02477, 58.11539 34.02432))"
"EAMENA-0192678";"crvn";1;"caravanserail";"-";0;"POLYGON ((56.50379 31.52689, 56.5035 31.52682, 56.50358 31.52654, 56.50393 31.52662, 56.50379 31.52689))"
